date,channel,campaign,impressions,clicks,conversions,revenue,marketing_spend,conversion_rate,cac,roi
05-04-2024,Paid Ads,New Year Blast,16288,3901,562,356124.28,116711.44,14.41,207.67,205.13
25-04-2024,Email,Black Friday,44202,1519,1025,62988.13,43575.71,67.48,42.51,44.55
31-05-2024,SEO,Summer Promo,36715,2659,830,305673.2,49354.6,31.21,59.46,519.34
18-03-2024,SEO,Black Friday,46300,4272,1071,43886.82,112334.25,25.07,104.89,-60.93
06-03-2024,Social,New Year Blast,32082,647,1138,410093.22,168603.61,175.89,148.16,143.23
13-02-2024,Email,Diwali Sale,17746,3155,739,79505.56,176560.34,23.42,238.92,-54.97
26-04-2024,Social,Black Friday,20209,2202,91,270399.95,29058.77,4.13,319.33,830.53
20-06-2024,Email,Black Friday,8262,4807,1007,380392.24,105369.44,20.95,104.64,261.01
02-05-2024,Paid Ads,Flash Sale,40052,696,897,296626.59,116527.16,128.88,129.91,154.56
01-04-2024,Paid Ads,Summer Promo,7862,4763,560,461853.29,181759.22,11.76,324.57,154.1
11-06-2024,Paid Ads,Black Friday,13911,2386,93,116778.23,139672.08,3.9,1501.85,-16.39
29-04-2024,Social,New Year Blast,26629,4578,649,207098.23,184557.61,14.18,284.37,12.21
05-03-2024,Social,Diwali Sale,12566,802,948,166539.16,157197.79,118.2,165.82,5.94
10-03-2024,Social,Black Friday,27368,3157,388,293972.98,33492.21,12.29,86.32,777.74
29-05-2024,Paid Ads,New Year Blast,45532,4779,813,165576.57,118358.86,17.01,145.58,39.89
28-03-2024,Paid Ads,New Year Blast,23218,862,161,351751.14,102001.86,18.68,633.55,244.85
27-02-2024,SEO,Summer Promo,30159,1965,335,381709.05,2312.22,17.05,6.9,16408.34
22-05-2024,Paid Ads,New Year Blast,7217,4218,668,357792.59,94591.15,15.84,141.6,278.25
19-05-2024,Paid Ads,Summer Promo,41289,1399,841,394466.36,107078.53,60.11,127.32,268.39
23-04-2024,Paid Ads,Flash Sale,29994,4005,310,295405.43,64101.7,7.74,206.78,360.84
31-03-2024,Paid Ads,Black Friday,22458,1341,299,490173.34,55857.18,22.3,186.81,777.55
17-02-2024,SEO,Flash Sale,39553,4000,439,436303.29,97366.65,10.97,221.79,348.1
18-02-2024,Social,Diwali Sale,39773,3564,307,322454.37,5884.32,8.61,19.17,5379.89
10-06-2024,Social,New Year Blast,16463,4608,43,146573.89,21012.24,0.93,488.66,597.56
31-05-2024,Email,New Year Blast,26974,3975,863,118147.14,159198.12,21.71,184.47,-25.79
18-04-2024,Email,Diwali Sale,19456,815,938,414092.15,169618.12,115.09,180.83,144.13
18-04-2024,SEO,Summer Promo,34020,564,759,119540.82,151889.9,134.57,200.12,-21.3
01-02-2024,Paid Ads,Summer Promo,21836,1909,226,479700.79,182631.37,11.84,808.1,162.66
18-02-2024,Paid Ads,Flash Sale,28408,2440,123,67848.02,91726.84,5.04,745.75,-26.03
14-03-2024,Paid Ads,Summer Promo,47839,1939,519,249041.02,57199.56,26.77,110.21,335.39
12-05-2024,Email,Flash Sale,28925,286,505,73482.44,157214.2,176.57,311.32,-53.26
13-04-2024,SEO,New Year Blast,27764,1356,717,315616.89,179810.74,52.88,250.78,75.53
18-04-2024,SEO,Flash Sale,43261,1528,332,466452.49,186938.05,21.73,563.07,149.52
08-02-2024,Email,Summer Promo,19541,4450,265,99505.12,59763.44,5.96,225.52,66.5
15-05-2024,Social,Black Friday,18504,4655,841,361307.41,63714.57,18.07,75.76,467.07
22-05-2024,Social,Summer Promo,46502,1052,549,460269.65,110340.22,52.19,200.98,317.14
13-05-2024,Social,Flash Sale,44796,2029,339,332624.91,164019.11,16.71,483.83,102.8
05-06-2024,Social,New Year Blast,20251,4246,897,373209.69,6182.29,21.13,6.89,5936.75
05-06-2024,Paid Ads,New Year Blast,29546,4034,623,414896.7,116082.98,15.44,186.33,257.41
22-05-2024,Paid Ads,Black Friday,37890,1051,107,480030.53,68158.93,10.18,637,604.28
07-06-2024,Paid Ads,Flash Sale,38703,444,893,366772.15,164443.87,201.13,184.15,123.04
25-06-2024,Email,New Year Blast,29084,2145,138,207792.59,70929.37,6.43,513.98,192.96
08-01-2024,Paid Ads,Flash Sale,47072,4865,709,391758.81,157196.86,14.57,221.72,149.22
12-02-2024,Paid Ads,New Year Blast,40363,2698,437,356289.39,39830.33,16.2,91.14,794.52
08-05-2024,Email,Summer Promo,40969,4897,704,80792.53,195596.49,14.38,277.84,-58.69
13-05-2024,Social,Diwali Sale,19677,4624,737,358563.22,163586.22,15.94,221.96,119.19
05-05-2024,Social,Flash Sale,8793,4605,151,46751.92,14769.34,3.28,97.81,216.55
15-06-2024,Social,New Year Blast,43212,1112,738,183572.94,42476.38,66.37,57.56,332.18
08-04-2024,Social,Diwali Sale,36492,3644,732,247029.14,141726.34,20.09,193.62,74.3
25-01-2024,Paid Ads,New Year Blast,6701,2531,990,100548.34,189295.39,39.11,191.21,-46.88
13-06-2024,Email,Black Friday,29723,255,557,158912.75,185034.3,218.43,332.2,-14.12
28-03-2024,Social,Flash Sale,17035,3507,391,177235.62,160660.46,11.15,410.9,10.32
13-02-2024,SEO,Diwali Sale,14452,385,536,137017.69,82341.57,139.22,153.62,66.4
07-03-2024,Paid Ads,New Year Blast,44075,1446,364,230541.85,199810.82,25.17,548.93,15.38
25-05-2024,Email,Diwali Sale,36199,4842,481,498897.61,81058,9.93,168.52,515.48
17-01-2024,Paid Ads,Diwali Sale,38000,2939,317,472143.34,175321.38,10.79,553.06,169.3
06-05-2024,SEO,Diwali Sale,23762,1497,973,25211.92,86068.7,65,88.46,-70.71
08-04-2024,Social,New Year Blast,12967,2126,504,259762.81,194895.25,23.71,386.7,33.28
29-02-2024,Social,Flash Sale,43860,4698,1112,394466.95,185525.75,23.67,166.84,112.62
26-06-2024,Social,Summer Promo,7318,986,388,356884.18,107455.97,39.35,276.95,232.12
15-03-2024,Social,Black Friday,24726,289,216,123363.96,2080.12,74.74,9.63,5830.62
24-04-2024,Email,Diwali Sale,49229,2434,965,431393.34,46306.12,39.65,47.99,831.61
06-01-2024,Social,Flash Sale,10370,3606,1055,61180.34,191866.13,29.26,181.86,-68.11
21-06-2024,Paid Ads,New Year Blast,6520,1559,818,116366.4,67719.99,52.47,82.79,71.83
08-05-2024,Paid Ads,Black Friday,16161,3793,1174,499454.41,61360.33,30.95,52.27,713.97
23-05-2024,SEO,Flash Sale,9715,2339,1146,248310.71,8348.39,49,7.28,2874.35
12-05-2024,Paid Ads,Summer Promo,9598,4266,842,228412.83,137946.62,19.74,163.83,65.58
04-02-2024,Paid Ads,Diwali Sale,28517,2496,332,447625.73,111366.7,13.3,335.44,301.94
18-01-2024,SEO,Black Friday,32387,1159,803,271208.65,40778.54,69.28,50.78,565.08
06-06-2024,Email,Diwali Sale,44603,3903,747,54470.49,88158.44,19.14,118.02,-38.21
24-04-2024,SEO,Black Friday,43250,220,356,21138.31,193441.77,161.82,543.38,-89.07
02-05-2024,Social,Black Friday,16828,1056,1113,295372.02,177040.45,105.4,159.07,66.84
14-06-2024,Paid Ads,Diwali Sale,7802,1136,955,239999.75,103642.75,84.07,108.53,131.56
08-05-2024,Email,Summer Promo,14791,2977,149,79722.83,44898.19,5.01,301.33,77.56
07-01-2024,Social,Diwali Sale,25048,4044,1169,358071.55,148672.76,28.91,127.18,140.85
12-03-2024,Email,New Year Blast,30943,2315,870,393672.55,178037.92,37.58,204.64,121.12
05-05-2024,Social,Summer Promo,13008,2852,490,172909.93,195957.51,17.18,399.91,-11.76
15-01-2024,Email,Black Friday,24813,3065,113,393412.86,130413.02,3.69,1154.1,201.67
06-05-2024,SEO,New Year Blast,24421,3777,1089,291964.93,53139.06,28.83,48.8,449.44
29-02-2024,Paid Ads,New Year Blast,32536,1614,484,377781.49,56951.66,29.99,117.67,563.34
12-02-2024,Email,Summer Promo,7102,3486,42,238900.95,64002.45,1.2,1523.87,273.27
11-02-2024,Paid Ads,Diwali Sale,46303,838,463,495234.15,97377.33,55.25,210.32,408.57
22-02-2024,Email,New Year Blast,16948,1202,587,171386.89,112833.6,48.84,192.22,51.89
02-05-2024,Social,Flash Sale,8319,4387,865,232770.46,170121.92,19.72,196.67,36.83
20-03-2024,Email,Black Friday,21313,395,553,219311.55,10365.62,140,18.74,2015.76
29-04-2024,Email,Black Friday,28152,2406,313,75203.05,196864.29,13.01,628.96,-61.8
20-05-2024,Paid Ads,Black Friday,27629,3191,1139,90298.5,147671.04,35.69,129.65,-38.85
01-04-2024,Paid Ads,Summer Promo,11826,3778,984,407498.41,34908.12,26.05,35.48,1067.35
28-04-2024,Paid Ads,Flash Sale,14320,731,1100,262135.36,72320.87,150.48,65.75,262.46
12-03-2024,Paid Ads,Black Friday,42017,4941,1022,163448.74,114078.67,20.68,111.62,43.28
27-02-2024,Social,Flash Sale,17142,4194,808,33366.95,19203.84,19.27,23.77,73.75
08-06-2024,SEO,Black Friday,17783,2057,1013,145292.6,110281.2,49.25,108.87,31.75
09-05-2024,Paid Ads,Flash Sale,34990,539,1052,484600.42,107121.86,195.18,101.83,352.38
21-04-2024,SEO,Summer Promo,41023,3985,185,148804.68,80503.75,4.64,435.16,84.84
31-05-2024,Social,Summer Promo,34604,861,1144,183454.7,149757.1,132.87,130.91,22.5
10-04-2024,Social,New Year Blast,41868,2825,396,216337.39,26241.23,14.02,66.27,724.42
16-03-2024,Email,Summer Promo,17263,3075,1004,146255.78,14044.11,32.65,13.99,941.4
15-01-2024,Email,Diwali Sale,15520,4340,600,289762.75,145347.83,13.82,242.25,99.36
02-03-2024,Social,Flash Sale,27204,4167,796,63819.17,139622.91,19.1,175.41,-54.29
07-05-2024,Paid Ads,Summer Promo,43532,4943,760,311960.69,63185.16,15.38,83.14,393.72
27-04-2024,Email,Black Friday,42639,1753,1173,391873.54,191796.62,66.91,163.51,104.32
15-03-2024,Paid Ads,Summer Promo,38567,473,85,475630.23,96646.22,17.97,1137.01,392.14
01-03-2024,Email,Black Friday,34141,4022,258,497840.06,67699.2,6.41,262.4,635.37
15-04-2024,Social,Summer Promo,23100,2730,499,472966.15,26777.14,18.28,53.66,1666.31
24-01-2024,Paid Ads,Flash Sale,13055,937,1012,499541.18,51925.93,108,51.31,862.03
14-02-2024,SEO,Summer Promo,37362,717,812,383850.5,154841.72,113.25,190.69,147.9
06-01-2024,Social,Diwali Sale,19942,2784,632,354651.52,108685.49,22.7,171.97,226.31
12-03-2024,SEO,Black Friday,39572,4534,487,332952.24,99816.92,10.74,204.96,233.56
20-02-2024,SEO,Summer Promo,28696,1339,332,385276.81,40511.38,24.79,122.02,851.03
01-03-2024,Social,Flash Sale,47640,2353,1178,217447.6,104691.08,50.06,88.87,107.7
25-05-2024,Email,Summer Promo,45679,1631,828,354209.61,115741.41,50.77,139.78,206.04
13-05-2024,Paid Ads,Black Friday,11542,3032,549,455319.02,133750.86,18.11,243.63,240.42
10-01-2024,Paid Ads,Flash Sale,5284,2402,851,380347.58,164441.58,35.43,193.23,131.3
29-01-2024,Social,Diwali Sale,19679,4748,930,416810.04,140967.01,19.59,151.58,195.68
10-03-2024,SEO,New Year Blast,5625,2328,308,45635.74,22678.15,13.23,73.63,101.23
08-03-2024,SEO,Flash Sale,17459,919,75,126839.94,198279.39,8.16,2643.73,-36.03
04-06-2024,Paid Ads,New Year Blast,45833,4019,538,316746.5,3709.28,13.39,6.89,8439.3
16-04-2024,Social,Summer Promo,17111,2088,1024,121410.41,131560.52,49.04,128.48,-7.72
19-03-2024,Social,Flash Sale,8890,4221,244,80568.9,29836.63,5.78,122.28,170.03
08-06-2024,Email,New Year Blast,24641,1460,560,258294.92,19488.46,38.36,34.8,1225.37
24-06-2024,Email,Flash Sale,34970,4024,312,38470.62,76875.44,7.75,246.4,-49.96
13-04-2024,Email,Summer Promo,38889,848,945,236942.99,22623.24,111.44,23.94,947.34
25-06-2024,Social,Summer Promo,31658,1789,591,259633.78,58237.87,33.04,98.54,345.82
12-06-2024,Social,Diwali Sale,48461,4791,348,349862.7,107287.58,7.26,308.3,226.1
14-02-2024,Paid Ads,Summer Promo,11803,3585,271,193488.13,32135.36,7.56,118.58,502.1
13-03-2024,SEO,Black Friday,29207,2108,699,145036.05,95660.89,33.16,136.85,51.61
14-01-2024,Email,Black Friday,10763,668,1122,131191.46,7024.94,167.96,6.26,1767.51
19-03-2024,Social,Flash Sale,34977,2450,65,372017.43,140275.08,2.65,2158.08,165.21
03-06-2024,SEO,Diwali Sale,36702,4178,1074,72254.61,184902.68,25.71,172.16,-60.92
